agno;mes;dia;valor
1989;11;1;33
1989;12;1;32,6
1990;1;1;34,4
1990;2;1;33,5
1990;3;1;31,3
1990;4;1;29,6
1990;5;1;28,4
1990;6;1;26,9
1990;7;1;28,3
1990;8;1;25,4
1990;9;1;28,5
1990;10;1;27,8
1990;11;1;33,2
1990;12;1;33,2
1991;1;1;33,8
1991;2;1;33,8
1991;3;1;32
1991;4;1;29,4
1991;5;1;28,4
1991;6;1;25
1991;7;1;20,6
1991;8;1;25
1991;9;1;29,4
1991;10;1;29,6
1991;11;1;31,5
1991;12;1;34,4
1992;1;1;34,6
1992;2;1;33
1992;3;1;33,3
1992;4;1;27
1992;5;1;23,2
1992;6;1;20,8
1992;7;1;19,6
1992;8;1;26,6
1992;9;1;29,8
1992;10;1;29,4
1992;11;1;33,3
1992;12;1;32,8
1993;1;1;32,5
1993;2;1;33,5
1993;3;1;32,6
1993;4;1;31,5
1993;5;1;23,4
1993;6;1;23,8
1993;7;1;20,1
1993;8;1;27
1993;9;1;27,6
1993;10;1;30
1993;11;1;32,2
1993;12;1;33,6
1994;1;1;34,7
1994;2;1;32,5
1994;3;1;32,8
1994;4;1;28,7
1994;5;1;27,4
1994;6;1;25
1994;7;1;21,8
1994;8;1;23,9
1994;9;1;30,8
1994;10;1;29,7
1994;11;1;31,2
1994;12;1;34,6
1995;1;1;34,2
1995;2;1;32,6
1995;3;1;31,6
1995;4;1;32
1995;5;1;28,4
1995;6;1;24,8
1995;7;1;22,4
1995;8;1;26
1995;9;1;28,7
1995;10;1;30,2
1995;11;1;31,8
1995;12;1;33,1
1996;1;1;33,1
1996;2;1;34
1996;3;1;32,6
1996;4;1;28,8
1996;5;1;27,2
1996;6;1;23,8
1996;7;1;26,8
1996;8;1;27
1996;9;1;32,6
1996;10;1;31
1996;11;1;33,4
1996;12;1;33
1997;1;1;34
1997;2;1;34,8
1997;3;1;34,8
1997;4;1;31,8
1997;5;1;30,4
1997;6;1;20,2
1997;7;1;22,4
1997;8;1;28,7
1997;9;1;31,6
1997;10;1;27,1
1997;11;1;30,7
1997;12;1;33,2
1998;1;1;36,6
1998;2;1;34,8
1998;3;1;31,8
1998;4;1;31,8
1998;5;1;27,5
1998;6;1;23,4
1998;7;1;23,2
1998;8;1;29,8
1998;9;1;29,2
1998;10;1;31,6
1998;11;1;32,1
1998;12;1;35,4
1999;1;1;33,8
1999;2;1;33,3
1999;3;1;31,2
1999;4;1;27,6
1999;5;1;26,9
1999;6;1;20,4
1999;7;1;25,2
1999;8;1;24,7
1999;9;1;26,4
1999;10;1;29,4
1999;11;1;31,3
1999;12;1;31,6
2000;1;1;34,1
2000;2;1;31,7
2000;3;1;31
2000;4;1;30,4
2000;5;1;24,2
2000;6;1;21
2000;7;1;23
2000;8;1;25,6
2000;9;1;28
2000;10;1;31,6
2000;11;1;31,8
2000;12;1;33,6
2001;1;1;34
2001;2;1;33,5
2001;3;1;31,8
2001;4;1;29,4
2001;5;1;28
2001;6;1;24
2001;7;1;24,6
2001;8;1;28,2
2001;9;1;27
2001;10;1;28,2
2001;11;1;31,8
2001;12;1;34,4
2002;1;1;33,4
2002;2;1;33,6
2002;3;1;32
2002;4;1;27,8
2002;5;1;30,8
2002;6;1;22,4
2002;7;1;26
2002;8;1;24
2002;9;1;25,8
2002;10;1;29
2002;11;1;32,4
2002;12;1;33,2
2003;1;1;36,4
2003;2;1;34
2003;3;1;32,3
2003;4;1;31,9
2003;5;1;28,6
2003;6;1;24,2
2003;7;1;24,2
2003;8;1;28,3
2003;9;1;27,8
2003;10;1;31,8
2003;11;1;31,5
2003;12;1;33,2
2004;1;1;32,6
2004;2;1;33,4
2004;3;1;34,2
2004;4;1;28,5
2004;5;1;27
2004;6;1;22,6
2004;7;1;23,5
2004;8;1;27,6
2004;9;1;29,6
2004;10;1;29
2004;11;1;31,4
2004;12;1;32,6
2005;1;1;35,2
2005;2;1;35,9
2005;3;1;33,5
2005;4;1;30
2005;5;1;24,1
2005;6;1;21
2005;7;1;23,3
2005;8;1;25,6
2005;9;1;24,6
2005;10;1;31,9
2005;11;1;31,1
2005;12;1;34
2006;1;1;36,3
2006;2;1;32,6
2006;3;1;31,4
2006;4;1;29,4
2006;5;1;26,7
2006;6;1;23
2006;7;1;25,5
2006;8;1;28,4
2006;9;1;31
2006;10;1;30
2006;11;1;33,8
2006;12;1;34,8
2007;1;1;34,5
2007;2;1;33,2
2007;3;1;33,7
2007;4;1;30,4
2007;5;1;25
2007;6;1;26,7
2007;7;1;22
2007;8;1;25,2
2007;9;1;26,8
2007;10;1;31,2
2007;11;1;34,8
2007;12;1;33,6
2008;1;1;34,8
2008;2;1;33,8
2008;3;1;31,6
2008;4;1;30,4
2008;5;1;25,2
2008;6;1;23,3
2008;7;1;22,1
2008;8;1;26,6
2008;9;1;30,7
2008;10;1;28,9
2008;11;1;32
2008;12;1;34,2
2009;1;1;34,2
2009;2;1;34,6
2009;3;1;34
2009;4;1;30,5
2009;5;1;26,3
2009;6;1;26
2009;7;1;22,8
2009;8;1;27,4
2009;9;1;25,8
2009;10;1;33,1
2009;11;1;31,1
2009;12;1;34,3
2010;1;1;35,4
2010;2;1;33,4
2010;3;1;34
2010;4;1;30,8
2010;5;1;29,3
2010;6;1;23
2010;7;1;22
2010;8;1;25
2010;9;1;27,8
2010;10;1;30,8
2010;11;1;33,8
2010;12;1;33,5
2011;1;1;34
2011;2;1;34,6
2011;3;1;32,4
2011;4;1;32
2011;5;1;28
2011;6;1;23,7
2011;7;1;25,8
2011;8;1;29,8
2011;9;1;31,2
2011;10;1;30,6
2011;11;1;34
2011;12;1;33,6
2012;1;1;34
2012;2;1;34,9
2012;3;1;35,2
2012;4;1;31
2012;5;1;28
2012;6;1;24
2012;7;1;28,4
2012;8;1;25,5
2012;9;1;29,8
2012;10;1;29,1
2012;11;1;32,6
2012;12;1;32,8
2013;1;1;35,8
2013;2;1;35,7
2013;3;1;33
2013;4;1;32,1
2013;5;1;28,1
2013;6;1;25
2013;7;1;26,5
2013;8;1;30,8
2013;9;1;29,7
2013;10;1;30,9
2013;11;1;33,9
2013;12;1;34,3
2014;1;1;35,2
2014;2;1;33,6
2014;3;1;34,7
2014;4;1;31,1
2014;5;1;27,7
2014;6;1;26,2
2014;7;1;26,1
2014;8;1;31
2014;9;1;29,5
2014;10;1;32,1
2014;11;1;32
2014;12;1;34,9
2015;1;1;35,9
2015;2;1;35,9
2015;3;1;36,2
2015;4;1;33
2015;5;1;31,6
2015;6;1;25,5
2015;7;1;24,5
2015;8;1;27,5
2015;9;1;28,6
2015;10;1;26,9
2015;11;1;32,4
2015;12;1;35,3
2016;1;1;35,6
2016;2;1;34,5
2016;3;1;35
2016;4;1;27,2
2016;5;1;27,1
2016;6;1;25
2016;7;1;23,1
2016;8;1;26,8
2016;9;1;32
2016;10;1;31,6
2016;11;1;34,8
2016;12;1;37,3
2017;1;1;37,4
2017;2;1;34,9
2017;3;1;34,9
2017;4;1;32
2017;5;1;27,6
2017;6;1;21,3
2017;7;1;25,4
2017;8;1;26,3
2017;9;1;31,5
2017;10;1;29,3
2017;11;1;33
2017;12;1;34,5
2018;1;1;34,9
2018;2;1;35,4
2018;3;1;32,6
2018;4;1;27,9
2018;5;1;25,8
2018;6;1;27,3
2018;7;1;24
2018;8;1;28,2
2018;9;1;31,3
2018;10;1;28,9
2018;11;1;34,5
2018;12;1;33,4
2019;1;1;38,3
2019;2;1;36,2
2019;3;1;31,9
2019;4;1;32,4
2019;5;1;28,2
2019;6;1;22,4
2019;7;1;24,6
2019;8;1;29
2019;9;1;28,8
2019;10;1;33,1
2019;11;1;34,9
2019;12;1;36,7
2020;1;1;34,5
2020;2;1;35
2020;3;1;35
2020;4;1;33,9
2020;5;1;30,7
2020;6;1;24,3
2020;7;1;23,8
2020;8;1;25,8
2020;9;1;28,3
2020;10;1;31,2
2020;11;1;33,2
2020;12;1;33,5
2021;1;1;33,1
2021;2;1;33,6
2021;3;1;33,8
2021;4;1;31,4
2021;5;1;27,3
2021;6;1;25,7
