PeriodoMuestra;uwindM;vwindM
1121956;13.799.972;0.65681424
1011957;16.866.521;0.70543931
1021957;12.806.935;0.5451976
1031957;13.054.674;0.5960329
1041957;0.26204957;0.39490193
1051957;-0.2315545;0.29102109
1061957;-0.83133237;0.074786878
1071957;-0.60753466;0.078470596
1081957;-0.19699597;0.37611497
1091957;0.39570364;0.62071381
1101957;0.93760638;0.65239378
1111957;13.527.251;0.69659839
1121957;15.038.666;0.73343556
1011958;16.901.912;0.82884385
1021958;1.245.094;0.72164767
1031958;10.298.319;0.5882971
1041958;0.28786437;0.53967202
1051958;-0.079163875;0.3326471
1061958;-0.45451948;0.20150676
1071958;-0.54341401;0.1514082
1081958;-0.29671607;0.33743593
1091958;0.43338493;0.38495589
1101958;0.69819487;0.60671568
1111958;0.93698183;0.72790999
1121958;11.589.059;0.74043463
1011959;12.092.864;0.73748765
1021959;12.936.009;0.67449608
1031959;0.99714698;0.64834169
1041959;0.63927883;0.53414645
1051959;-0.33044186;0.43505445
1061959;-0.63876225;0.17203702
1071959;-0.16847478;0.21992535
1081959;-0.10643597;0.3926917
1091959;0.3509441;0.61813521
1101959;0.88327038;0.70985977
1111959;12.836.081;0.68444212
1121959;15.455.034;0.75627461
1011960;16.329.407;0.69733513
1021960;14.083.102;0.54188226
1031960;0.91762072;0.52162181
1041960;0.21270998;0.48699486
1051960;-0.15223643;0.39490193
1061960;-0.52884114;0.24423788
1071960;-0.29567515;0.22250395
1081960;-0.2600757;0.38606101
1091960;0.32991752;0.58682361
1101960;0.85537373;0.72238441
1111960;12.140.746;0.8060048
1121960;16.972.695;0.81926618
1011961;17.484.827;0.82663362
1021961;13.496.024;0.66786539
1031961;0.73212885;0.63065985
1041961;0.13172643;0.571352
1051961;-0.14765638;0.42510841
1061961;-0.57193521;0.12414869
1071961;-0.7753309;0.14772448
1081961;-0.20490696;0.22766115
1091961;0.33387302;0.54888132
1101961;0.69923579;0.59566453
1111961;16.198.251;0.73012022
1121961;16.393.944;0.75995833
1011962;14.870.037;0.67670632
1021962;14.307.941;0.63471194
1031962;1.152.244;0.53746179
1041962;0.54018328;0.4969409
1051962;-0.20990337;0.39858565
1061962;-0.61669475;0.117518
1071962;-0.75263885;0.10536173
1081962;-0.2704849;0.3182806
1091962;0.40132461;0.58092966
1101962;0.81706789;0.62181892
1111962;15.536.226;0.6899677
1121962;17.309.953;0.72975185
1011963;17.074.705;0.76879925
1021963;13.246.203;0.53930365
1031963;0.9800759;0.71501698
1041963;0.066564868;0.49804602
1051963;-0.34334927;0.37685171
1061963;-0.47783608;0.19671793
1071963;-0.77054267;0.022109718
1081963;-0.43661566;0.15951238
1091963;-0.049393574;0.32454292
1101963;0.44774962;0.44647397
1111963;0.93510817;0.53893528
1121963;13.881.164;0.67781143
1011964;1.486.171;0.75627461
1021964;14.830.482;0.70617606
1031964;0.63365786;0.50651857
1041964;0.53685234;0.51977995
1051964;-0.2419637;0.38421915
1061964;-0.6989274;0.21292628
1071964;-0.59858275;0.19045561
1081964;-0.33502191;0.25676252
1091964;0.25830226;0.49252044
1101964;0.49688103;0.5908757
1111964;10.752.159;0.72017418
1121964;13.210.812;0.71059652
1011965;12.900.618;0.64392123
1021965;12.174.056;0.71501698
1031965;0.87577576;0.54998643
1041965;0.081762294;0.49767765
1051965;-0.40018348;0.35364429
1061965;-0.70829567;0.22508255
1071965;-0.65958064;0.20740071
1081965;-0.26028388;0.27960157
1091965;0.001611485;0.50467671
1101965;0.66613455;0.56251107
1111965;11.497.458;0.62366078
1121965;0.9981879;0.76143182
1011966;13.425.241;0.87341683
1021966;0.8751512;0.76401042
1031966;0.70943681;0.74153974
1041966;0.36801518;0.48146929
1051966;-0.63626404;0.35732801
1061966;-0.53612757;0.0836278
1071966;-0.89961669;0.11935986
1081966;-0.31337078;0.29507318
1091966;-0.012753205;0.49878276
1101966;0.5516334;0.71354349
1111966;11.899.253;0.58608687
1121966;13.414.832;0.70101885
1011967;11.505.785;0.67670632
1021967;11.174.773;0.59234918
1031967;0.54517969;0.5816664
1041967;0.15795761;0.52751576
1051967;-0.066256472;0.30280899
1061967;-0.61419654;0.28144343
1071967;-0.61065742;0.14993471
1081967;0.063233925;0.42621353
1091967;0.53164774;0.38385078
1101967;0.95405291;0.65828773
1111967;0.87723304;0.68554724
1121967;13.214.975;0.84357872
1011968;13.668.816;0.81521409
1021968;14.489.061;0.77874529
1031968;11.110.236;0.70175559
1041968;0.34115946;0.55477527
1051968;-0.38186329;0.36764242
1061968;-0.48782891;0.21292628
1071968;-0.53300482;0.19671793
1081968;-0.095610404;0.39600704
1091968;0.37509343;0.44315863
1101968;0.93073631;0.62623939
1111968;12.369.749;0.77800855
1121968;13.785.399;0.86420754
1011969;1.397.901;0.73417231
1021969;13.083.819;0.6925463
1031969;0.98070045;0.63287008
1041969;0.32429656;0.51941158
1051969;-0.17138935;0.31791223
1061969;-0.30525161;0.15877564
1071969;-0.50031994;0.22471418
1081969;-0.28318411;0.34664523
1091969;0.21187724;0.51425437
1101969;0.62991055;0.69180956
1111969;10.879.152;0.64981518
1121969;13.335.722;0.77432483
1011970;12.769.462;0.76658902
1021970;12.178.219;0.66712865
1031970;0.80686688;0.59824313
1041970;0.04970197;0.53672505
1051970;-0.23009722;0.34369825
1061970;-0.3895661;0.2283979
1071970;-0.82404593;0.15582866
1081970;-0.20990337;0.45642001
1091970;0.17315503;0.46526093
1101970;0.6965294;0.56435293
1111970;11.299.683;0.79716388
1121970;1.230.313;0.81742432
1011971;11.141.463;0.76916762
1021971;10.737.587;0.67375934
1031971;0.79042035;0.59161244
1041971;0.23623476;0.48809998
1051971;-0.49573989;0.31238666
1061971;-0.74139692;0.1631961
1071971;-0.83466331;0.17130028
1081971;-0.27277492;0.27960157
1091971;0.4804345;0.52051669
1101971;0.78105207;0.63360682
1111971;0.95967387;0.80416294
1121971;14.053.956;0.77764017
1011972;14.016.483;0.68517887
1021972;11.347.565;0.6730226
1031972;0.81602697;0.6247659
1041972;0.093212409;0.36432707
1051972;-0.42641465;0.27591785
1061972;-0.87338552;0.15877564
