agno;mes;dia;valor
1968;3;1;0
1968;4;1;14
1968;5;1;0
1968;6;1;7,8
1968;7;1;4,6
1968;8;1;9,9
1968;9;1;32,7
1968;10;1;0
1968;11;1;0,2
1968;12;1;0
1969;1;1;0
1969;2;1;0
1969;3;1;0
1969;4;1;19,9
1969;5;1;22,5
1969;6;1;62,6
1969;7;1;22,1
1969;8;1;45,8
1969;9;1;1,6
1969;10;1;0
1969;11;1;0,8
1969;12;1;0
1970;1;1;0
1970;2;1;0
1970;3;1;0
1970;4;1;0
1970;5;1;84,1
1970;6;1;34,7
1970;7;1;165,7
1970;8;1;12,7
1970;9;1;35,9
1970;10;1;25,1
1970;11;1;0
1970;12;1;0
1971;1;1;12,6
1971;2;1;0
1971;3;1;0
1971;4;1;4,4
1971;5;1;33
1971;6;1;143,4
1971;7;1;29,4
1971;8;1;30,8
1971;9;1;10,7
1971;10;1;29,9
1971;11;1;0
1971;12;1;2,1
1972;1;1;6
1972;2;1;0
1972;3;1;2,2
1972;4;1;4
1972;5;1;149,2
1972;6;1;165,8
1972;7;1;52,6
1972;8;1;142,5
1972;9;1;49,4
1972;10;1;16,6
1972;11;1;7
1972;12;1;0
1973;1;1;0
1973;2;1;0
1973;3;1;0
1973;4;1;4
1973;5;1;24,2
1973;6;1;37,4
1973;7;1;77,6
1973;8;1;0,7
1973;9;1;6
1973;10;1;33,4
1973;11;1;0,2
1973;12;1;0
1974;1;1;0
1974;2;1;0
1974;3;1;0
1974;4;1;0
1974;5;1;100,8
1974;6;1;227,6
1974;7;1;35,3
1974;8;1;14,1
1974;9;1;22
1974;10;1;0
1974;11;1;17,7
1974;12;1;0
1975;1;1;0
1975;2;1;0
1975;3;1;0
1975;4;1;14,9
1975;5;1;18,3
1975;6;1;2,5
1975;7;1;84
1975;8;1;20,1
1975;9;1;1,1
1975;10;1;0
1975;11;1;15,3
1975;12;1;0
1976;1;1;0
1976;2;1;0,8
1976;3;1;5,8
1976;4;1;1,6
1976;5;1;18,4
1976;6;1;51,9
1976;7;1;6,5
1976;8;1;34,8
1976;9;1;16,5
1976;10;1;41
1976;11;1;13,2
1976;12;1;0
1977;1;1;0
1977;2;1;0
1977;3;1;0
1977;4;1;20,5
1977;5;1;28,9
1977;6;1;123,1
1977;7;1;138,3
1977;8;1;48,2
1977;9;1;1,5
1977;10;1;21,1
1977;11;1;31
1977;12;1;0
1978;1;1;0
1978;2;1;0
1978;3;1;0
1978;4;1;0
1978;5;1;19,1
1978;6;1;54,5
1978;7;1;188,8
1978;8;1;14,9
1978;9;1;26,1
1978;10;1;0,4
1978;11;1;82,5
1978;12;1;1
1979;1;1;0
1979;2;1;0
1979;3;1;0
1979;4;1;6
1979;5;1;12,7
1979;6;1;0,7
1979;7;1;91,9
1979;8;1;27,5
1979;9;1;42,9
1979;10;1;0
1979;11;1;26,1
1979;12;1;12,7
1980;1;1;0,6
1980;2;1;21,2
1980;3;1;0
1980;4;1;48,6
1980;5;1;44,9
1980;6;1;60,3
1980;7;1;63,9
1980;8;1;14,1
1980;9;1;61,8
1980;10;1;0,2
1980;11;1;5,2
1980;12;1;0
1981;1;1;0
1981;2;1;3,8
1981;3;1;6,9
1981;4;1;0,7
1981;5;1;183
1981;6;1;20
1981;7;1;30
1981;8;1;11
1981;9;1;14,5
1981;10;1;11,5
1981;11;1;0,5
1981;12;1;0
1982;1;1;0
1982;2;1;0
1982;3;1;14,6
1982;4;1;0,8
1982;5;1;111
1982;6;1;275,5
1982;7;1;102,9
1982;8;1;64,8
1982;9;1;39,5
1982;10;1;14,3
1982;11;1;0
1982;12;1;0
1983;1;1;9,4
1983;2;1;0,6
1983;3;1;0
1983;4;1;24,5
1983;5;1;57,5
1983;6;1;103
1983;7;1;89,8
1983;8;1;44,5
1983;9;1;34,9
1983;10;1;0,6
1983;11;1;0,3
1983;12;1;0
1984;1;1;0
1984;2;1;0
1984;3;1;2
1984;4;1;1,4
1984;5;1;65,5
1984;6;1;40,5
1984;7;1;245,9
1984;8;1;48,6
1984;9;1;24,4
1984;10;1;20,9
1984;11;1;6,3
1984;12;1;0
1985;1;1;0,2
1985;2;1;0
1985;3;1;27,2
1985;4;1;0,2
1985;5;1;37,4
