agno;mes;dia;valor
1988;12;1;33
1989;1;1;34,5
1989;2;1;34,2
1989;3;1;31,9
1989;4;1;29,6
1989;5;1;25,5
1989;6;1;23,6
1989;7;1;28,2
1989;8;1;24,8
1989;9;1;27,4
1989;10;1;31,2
1989;11;1;33,3
1989;12;1;32,7
1990;1;1;35,1
1990;2;1;34,5
1990;3;1;32,4
1990;4;1;30,6
1990;5;1;29,2
1990;6;1;26,7
1990;7;1;26,9
1990;8;1;25,4
1990;9;1;29,6
1990;10;1;28,4
1990;11;1;34,7
1990;12;1;34,5
1991;1;1;35,3
1991;2;1;35,1
1991;3;1;33,2
1991;4;1;30,6
1991;5;1;28,4
1991;6;1;23,7
1991;7;1;19,1
1991;8;1;24,2
1991;9;1;28,5
1991;10;1;30,3
1991;11;1;32
1991;12;1;35
1992;1;1;35,8
1992;2;1;34,2
1992;3;1;34,8
1992;4;1;27,2
1992;5;1;22,7
1992;6;1;19,8
1992;7;1;18,2
1992;8;1;25,6
1992;9;1;28,3
1992;10;1;28,1
1992;11;1;33,9
1992;12;1;32,5
1993;1;1;32,4
1993;2;1;33,4
1993;3;1;32,6
1993;4;1;32,2
1993;5;1;22,8
1993;6;1;22,4
1993;7;1;18,9
1993;8;1;26,4
1993;9;1;26,7
1993;10;1;29,9
1993;11;1;31,6
1993;12;1;33,8
1994;1;1;34,8
1994;2;1;32,5
1994;3;1;32,8
1994;4;1;28,9
1994;5;1;27,2
1994;6;1;23,6
1994;7;1;20,5
1994;8;1;22,1
1994;9;1;30,2
1994;10;1;28,7
1994;11;1;30,4
1994;12;1;34
1995;1;1;33,7
1995;2;1;32,4
1995;3;1;31,6
1995;4;1;32,3
1995;5;1;28,3
1995;6;1;24,8
1995;7;1;21,8
1995;8;1;24,9
1995;9;1;27,4
1995;10;1;29,6
1995;11;1;32,1
1995;12;1;33,6
1996;1;1;33,4
1996;2;1;34,5
1996;3;1;32,9
1996;4;1;28,3
1996;5;1;27,4
1996;6;1;23,8
1996;7;1;25,8
1996;8;1;26,3
1996;9;1;32,9
1996;10;1;31
1996;11;1;33,5
1996;12;1;32,4
1997;1;1;33,5
1997;2;1;34,7
1997;3;1;35,8
1997;4;1;32
1997;5;1;29,8
1997;6;1;19,6
1997;7;1;21,3
1997;8;1;26,2
1997;9;1;29
1997;10;1;25,8
1997;11;1;30,5
1997;12;1;32,6
1998;1;1;36,6
1998;2;1;34,9
1998;3;1;32,3
1998;4;1;31,4
1998;5;1;27,2
1998;6;1;22,4
1998;7;1;22,4
1998;8;1;29,2
1998;9;1;28,3
1998;10;1;30,7
1998;11;1;31,8
1998;12;1;35
1999;1;1;32,8
1999;2;1;32,9
1999;3;1;30,8
1999;4;1;28,1
1999;5;1;26,7
1999;6;1;20,4
1999;7;1;25
1999;8;1;24,2
1999;9;1;24,5
1999;10;1;29,1
1999;11;1;30,2
1999;12;1;31,6
2000;1;1;33,9
2000;2;1;31,4
2000;3;1;31,4
2000;4;1;31,1
2000;5;1;24,9
2000;6;1;20,8
2000;7;1;22
2000;8;1;24,5
2000;9;1;26,3
2000;10;1;31,2
2000;11;1;31,7
2000;12;1;33,5
