agno;mes;dia;valor
1994;3;1;14,8
1994;4;1;12,2
1994;5;1;10,9
1994;6;1;11
1994;8;1;8
1994;9;1;12
1994;12;1;16
1995;4;1;13
1999;10;1;12,2
1999;11;1;13,8
1999;12;1;14,9
2000;1;1;14,9
2000;2;1;16,1
2000;3;1;13,6
2000;4;1;12
2000;5;1;10,9
2000;6;1;10,7
2000;7;1;8,1
2000;8;1;10
2000;9;1;11,1
2000;10;1;12,2
2000;11;1;13,2
2001;2;1;15,6
2001;4;1;12,9
2001;5;1;10,9
2001;6;1;9,2
2001;7;1;10,2
2001;8;1;10,1
2001;9;1;10,2
2001;10;1;11,9
2001;11;1;13,3
2001;12;1;15,6
2002;1;1;15,9
2002;2;1;15,9
2002;3;1;15,2
2002;4;1;12,8
2002;5;1;11
2002;6;1;8,3
2002;7;1;8,8
2002;8;1;10,8
2002;9;1;11
2002;10;1;12,7
2002;11;1;13,3
2003;4;1;11,3
2003;5;1;9,8
2003;6;1;11,7
2003;7;1;9,2
2003;8;1;9,6
2003;9;1;10,6
2003;10;1;12,8
2004;4;1;13,7
2004;5;1;10,2
2004;6;1;9,8
2004;7;1;9,8
2004;8;1;10,1
2004;9;1;11,2
2004;10;1;12
2005;4;1;11,4
2005;5;1;10,8
2005;6;1;11
2005;7;1;10,1
2005;8;1;10,8
2005;9;1;10,4
2005;10;1;11,6
2006;4;1;12,2
2006;5;1;11,2
2006;6;1;11,3
2006;7;1;11,2
2006;8;1;10,9
2006;9;1;11,3
2006;10;1;12,8
2006;11;1;13,6
2007;2;1;15,8
2007;3;1;14,7
2007;4;1;12,6
2007;5;1;9,5
2007;6;1;7,4
2007;7;1;7,9
2007;8;1;6,9
2007;9;1;9,5
2007;10;1;11,2
2007;11;1;13
2007;12;1;14
2008;1;1;16,1
2008;2;1;16,9
2008;3;1;14,8
2008;4;1;11,9
2008;5;1;10,4
2008;6;1;9
2008;7;1;9,9
2008;8;1;9,8
2008;9;1;10,8
2008;10;1;11,7
2008;11;1;14
2008;12;1;16,1
2009;1;1;15,8
2009;2;1;15,3
2009;3;1;14,4
2009;4;1;12,4
2009;5;1;11,4
2009;6;1;9,3
2009;7;1;9,1
2009;8;1;10,1
2009;9;1;9,6
2009;10;1;12
2009;11;1;12,4
2009;12;1;14,1
2010;1;1;15,3
2010;2;1;15
2010;3;1;14,7
2010;4;1;10,8
2010;5;1;10,4
2010;6;1;9,8
2010;7;1;7,6
2010;8;1;9,3
2010;9;1;9,6
2010;10;1;11,9
2010;11;1;13
2010;12;1;14
2011;1;1;15,9
2011;2;1;16,1
2011;3;1;13,9
2011;4;1;12,5
2011;5;1;10
2011;6;1;9,5
2011;7;1;7,7
2011;8;1;9,2
2011;9;1;11,1
2011;10;1;11,2
2011;11;1;13,5
2011;12;1;15,1
2012;1;1;17,1
2012;2;1;15,8
2012;3;1;14,6
2012;4;1;12
2012;5;1;12,2
2012;6;1;11,3
2012;7;1;7,9
2012;8;1;9,3
2012;9;1;10,8
2012;10;1;11,6
2012;11;1;13,5
2012;12;1;15,3
2013;1;1;16,3
2013;2;1;16,5
2013;3;1;13,7
2013;4;1;11,8
2013;5;1;10,7
2013;6;1;9,1
2013;7;1;9,4
2013;8;1;9,1
2013;9;1;9,7
2013;10;1;11,2
2013;11;1;13,3
2013;12;1;15
2014;1;1;16,2
2014;2;1;14,8
2014;3;1;13
2014;4;1;11,3
2014;5;1;11,5
2014;6;1;9,4
2014;7;1;9,5
2014;8;1;10,5
2014;9;1;11,1
2014;10;1;12,5
2014;11;1;12,4
2014;12;1;14,2
2015;1;1;15,8
2015;2;1;15,2
2015;3;1;15,4
2015;4;1;13,1
2015;5;1;10,1
2015;6;1;9,8
2015;7;1;9,3
2015;8;1;11,1
2015;9;1;11,6
2015;10;1;12
2015;11;1;13,6
2015;12;1;14,8
2016;1;1;18,1
2016;2;1;15,8
2016;3;1;15,5
2016;4;1;13,4
2016;5;1;12,6
2016;6;1;8,4
2016;7;1;9,6
2016;8;1;10,2
2016;9;1;11
2016;10;1;12,9
2016;11;1;14,8
2016;12;1;15,9
2017;1;1;16,5
2017;2;1;16,4
2017;3;1;15
2017;4;1;13,2
2017;5;1;11,7
2017;6;1;10
2017;7;1;9,2
2017;8;1;9,9
2017;9;1;10,6
2017;10;1;11,3
