agno;mes;dia;valor
1976;12;1;26,8
1977;1;1;26,2
1977;2;1;25,2
1977;4;1;25
1977;5;1;28,6
1977;6;1;21,8
1977;7;1;20
1977;8;1;19,4
1977;9;1;29,1
1977;10;1;29,7
1977;11;1;25
1977;12;1;23
1978;4;1;23
1978;5;1;22,4
1978;6;1;18,1
1978;7;1;18,6
1978;8;1;22
1978;9;1;24,4
1978;10;1;20,5
1978;11;1;32
1978;12;1;22,8
1979;1;1;24,8
1979;4;1;25,3
1979;5;1;23,6
1979;6;1;20,5
1979;7;1;19,2
1979;8;1;21,4
1979;9;1;24,4
1979;10;1;22,5
1979;11;1;26
1979;12;1;22,8
1980;1;1;23,4
1980;2;1;25,6
1980;3;1;28,9
1980;4;1;22,3
1980;5;1;19,2
1980;6;1;20,2
1980;7;1;23,3
1980;8;1;19
1980;9;1;24,8
1980;10;1;23,4
1980;11;1;19,8
1980;12;1;23,4
1981;1;1;24,4
1981;2;1;22,4
1981;3;1;23,6
1981;4;1;23,2
1981;5;1;20
1981;6;1;19,2
1981;7;1;19,6
1981;8;1;20
1981;10;1;20
1981;11;1;19,7
1981;12;1;22,8
1982;3;1;22
1982;4;1;21,1
1982;5;1;19,2
1982;6;1;20,3
1982;7;1;18,8
1982;8;1;23,6
1982;9;1;24
1982;10;1;27,1
1982;11;1;22,6
1983;3;1;26,6
1983;4;1;25,8
1983;5;1;19,8
1983;6;1;18
1983;7;1;17,6
1983;8;1;24,4
1983;10;1;23,6
1983;11;1;22,8
1983;12;1;22,4
1984;4;1;22,6
1984;5;1;19,6
1984;6;1;19,4
1984;7;1;24,2
1984;8;1;22
1984;9;1;19,2
1984;10;1;21
1984;11;1;21,6
1984;12;1;23,4
1985;3;1;23,1
1985;4;1;23
1985;5;1;25,8
1985;6;1;20,3
1985;7;1;19,3
1985;8;1;19,3
1985;9;1;22
1985;10;1;20,7
1985;11;1;21,9
1985;12;1;23,4
1986;1;1;23,4
1986;2;1;24,5
1986;3;1;22,8
1986;4;1;25,9
1986;5;1;25,8
1986;6;1;21,2
1986;7;1;23,4
1986;8;1;19,8
1986;9;1;21,5
1986;10;1;25
1986;11;1;24,3
1986;12;1;23,2
1987;1;1;29,2
1987;2;1;29
1987;3;1;24,2
1987;4;1;25,2
1987;5;1;20,3
1987;6;1;23,8
1987;7;1;22,1
1987;8;1;20,1
1987;9;1;22,2
1987;10;1;24
1987;11;1;23,2
1987;12;1;25,2
1988;1;1;23,3
1988;2;1;24,6
1988;3;1;23,1
1988;4;1;23
1988;5;1;24,2
1988;6;1;19,4
1988;7;1;20,5
1988;8;1;26,3
1988;9;1;28,4
1988;10;1;24
1988;11;1;24,4
1988;12;1;21,3
1989;1;1;29
1989;2;1;25
1989;3;1;25
1989;4;1;27,3
1989;5;1;23
1989;6;1;23,5
1989;7;1;29,2
1989;8;1;22,6
1989;9;1;22,2
1989;10;1;24
1989;11;1;30,1
1989;12;1;29,8
1990;1;1;26,2
1990;2;1;25,4
1990;3;1;25,8
1990;4;1;26,6
1990;5;1;26,2
1990;6;1;22,4
1990;7;1;23,8
1990;8;1;21,2
1990;9;1;23,2
1990;10;1;21,2
1990;11;1;22,2
1990;12;1;26,9
1991;1;1;25,2
1991;2;1;24,3
1991;3;1;23,6
1991;4;1;23,6
1991;5;1;22,2
1991;6;1;21,9
1991;7;1;19,8
1991;8;1;22,2
1991;9;1;23,6
1991;10;1;26,4
1991;11;1;24,7
1991;12;1;24,1
1992;1;1;25,7
1992;2;1;24,4
1992;3;1;26,4
1992;4;1;27,4
1992;5;1;21,6
1992;6;1;19,1
1992;7;1;18,4
1992;8;1;21,6
1992;9;1;23,2
1992;10;1;23,6
1992;11;1;23,9
1992;12;1;23,2
1993;1;1;24,6
1993;2;1;24
1993;3;1;26,4
1993;4;1;27,8
1993;5;1;22,2
1993;6;1;19,2
1993;7;1;20,6
1993;8;1;21,1
1993;9;1;22
1993;10;1;21,2
1993;11;1;25,3
1993;12;1;23,1
1994;1;1;22,8
1994;2;1;26,1
1994;3;1;27,3
1994;4;1;26,8
1994;5;1;25,4
1994;6;1;24,2
1994;7;1;19,7
1994;8;1;21,2
1994;9;1;26,8
1994;10;1;29
1994;11;1;22,6
1994;12;1;23,8
1995;1;1;26,2
1995;2;1;23,9
1995;3;1;24,4
1995;4;1;25,3
1995;5;1;22,4
1995;6;1;22
1995;7;1;22,5
1995;8;1;18,8
1995;9;1;22,2
1995;10;1;22,8
1995;11;1;20,8
1995;12;1;23,4
1996;1;1;23,3
1996;2;1;22,6
1996;3;1;24,6
1996;4;1;24
1996;5;1;25,2
1996;6;1;20,7
1996;7;1;21,2
1996;8;1;20,1
1996;9;1;23,3
1996;10;1;27,1
1996;11;1;24,2
1996;12;1;22,4
1997;1;1;23,2
1997;2;1;23,8
1997;3;1;20,8
1997;4;1;25,9
1997;5;1;27,5
1997;6;1;19,4
1997;7;1;19,6
1997;8;1;26
1997;9;1;25,2
1997;10;1;19,2
1997;11;1;21
1997;12;1;25,8
1998;1;1;27,8
1998;2;1;23,2
1998;3;1;23,3
1998;4;1;21,8
1998;5;1;24,6
1998;6;1;19,9
1998;7;1;19,7
1998;8;1;18,2
1998;9;1;19,2
1998;10;1;26,2
1998;11;1;20,1
1998;12;1;23,2
1999;1;1;23,5
1999;2;1;21,8
1999;3;1;23
1999;4;1;26,4
1999;5;1;23
1999;6;1;18,9
1999;7;1;19,4
1999;8;1;19,3
1999;9;1;22,3
1999;10;1;19,2
1999;11;1;22,3
1999;12;1;23,8
2000;1;1;23,8
2000;2;1;24
2000;3;1;24,9
2000;4;1;25
2000;5;1;23,3
2000;6;1;18,6
2000;7;1;20,4
2000;8;1;20,8
2000;9;1;22,4
2000;10;1;20,5
2000;11;1;21,6
2001;1;1;25,5
2001;2;1;25
2001;3;1;24,2
2001;4;1;24,4
2001;5;1;22,3
2001;6;1;20,3
2001;7;1;20,3
2001;8;1;24
2001;9;1;20,8
2001;10;1;21,2
2001;11;1;21,6
2001;12;1;24
2002;1;1;22,6
2002;2;1;23,8
2002;3;1;24,2
2002;4;1;26,8
2002;5;1;20,1
2002;6;1;19
2002;7;1;20,7
2002;8;1;23,5
2002;9;1;22,3
2002;10;1;24
2002;11;1;24,4
2002;12;1;22,4
2003;1;1;33,7
2003;2;1;26,2
2003;3;1;22,4
2003;4;1;23,4
2003;5;1;22,6
2003;6;1;20,6
2003;7;1;20,5
2003;8;1;24,4
2003;9;1;22,8
2003;10;1;25,3
2003;11;1;23,6
2003;12;1;24,2
2004;1;1;23,4
2004;2;1;25,2
2004;3;1;25,5
2004;4;1;27,9
2004;5;1;22,5
2004;6;1;21,3
2004;7;1;20,4
2004;8;1;23,4
2004;9;1;20,8
2004;10;1;19,7
2004;11;1;23
2004;12;1;25,3
2005;1;1;24,2
2005;2;1;24,5
2005;3;1;25,6
2005;4;1;26
2005;5;1;20,5
2005;6;1;19,1
2005;7;1;19,8
2005;8;1;18
2005;9;1;22,4
2005;10;1;21,2
2005;11;1;24,6
2005;12;1;21,5
2006;1;1;28
2006;2;1;26,2
2006;3;1;23,8
2006;4;1;28
2006;5;1;26
2006;6;1;21,2
2006;7;1;27
2006;8;1;24,9
2006;9;1;26,4
2006;10;1;24,2
2006;11;1;26,9
2006;12;1;22,5
2007;1;1;23,3
2007;2;1;22,8
2007;3;1;26,5
2007;4;1;24,2
2007;5;1;20,3
2007;6;1;19,6
2007;7;1;20,6
2007;8;1;18,9
2007;9;1;18,5
2007;10;1;21,3
2007;11;1;23,4
2007;12;1;22
2008;1;1;25,8
2008;2;1;24
2008;3;1;24,1
2008;4;1;24,2
2008;5;1;22,3
2008;6;1;19,6
2008;7;1;19,2
2008;8;1;20,7
2008;9;1;20,3
2008;10;1;22,4
2008;11;1;21,5
2008;12;1;21,9
2009;1;1;22,5
2009;2;1;25,1
2009;3;1;31,4
2009;4;1;23,3
2009;5;1;22,2
2009;6;1;22,4
2009;7;1;19,7
2009;8;1;22,4
2009;9;1;18,5
2009;10;1;25,4
2009;11;1;27,5
2009;12;1;22,3
2010;1;1;26
2010;2;1;22,9
2010;3;1;24,2
2010;4;1;21,2
2010;5;1;20,4
2010;6;1;21
2010;7;1;18,8
2010;8;1;24
2010;9;1;19,4
2010;10;1;23,9
2010;11;1;25,6
2010;12;1;21,5
2011;1;1;23,2
2011;2;1;22,7
2011;3;1;24,5
2011;4;1;25,6
2011;5;1;25,2
2011;6;1;21,6
2011;7;1;19,2
2011;8;1;20,2
2011;9;1;25,2
2011;10;1;25,3
2011;11;1;22,8
2011;12;1;21,3
2012;1;1;24,4
2012;2;1;24,6
2012;3;1;25,2
2012;4;1;25,4
2012;5;1;22,1
2012;6;1;20,6
2012;7;1;22,3
2012;8;1;20,5
2012;9;1;27,5
2012;10;1;20
2012;11;1;21,8
2012;12;1;22,9
2013;1;1;22,8
2013;2;1;26,5
2013;3;1;21,8
2013;4;1;22,4
2013;5;1;24,8
2013;6;1;24,4
2013;7;1;22,6
2013;8;1;29,9
2013;9;1;23,2
2013;10;1;19,8
2013;11;1;26,4
2013;12;1;22,5
2014;1;1;24
2014;2;1;22
2014;3;1;21,4
2014;4;1;27,5
2014;5;1;22,9
2014;6;1;22,3
2014;7;1;23,5
2014;8;1;27,1
2014;9;1;23,1
2014;10;1;24,9
2014;11;1;21
2014;12;1;22,7
2015;1;1;21,6
2015;2;1;24,9
2015;3;1;25,7
2015;4;1;27,9
2015;5;1;23,7
2015;6;1;23,6
2015;7;1;20,5
2015;8;1;25,1
2015;9;1;24,9
2015;10;1;20,2
2015;11;1;20,3
2015;12;1;21,9
2016;1;1;24,3
2016;2;1;22,6
2016;3;1;21,7
2016;4;1;25,5
2016;5;1;21,8
2016;6;1;19,2
2016;7;1;20
2016;8;1;25,1
2016;9;1;24,2
2016;10;1;21,7
2016;11;1;31,2
2016;12;1;26,3
2017;1;1;27
2017;2;1;24,6
2017;3;1;25,1
2017;4;1;24,3
2017;5;1;21,1
2017;6;1;20,7
2017;7;1;23,9
2017;8;1;20,1
2017;9;1;21,1
2017;10;1;20,8
2017;11;1;27,1
2017;12;1;24
2018;1;1;25
2018;2;1;27,4
2018;3;1;26,6
2018;4;1;22,3
2018;5;1;23,3
2018;6;1;20,6
2018;7;1;20,1
2018;8;1;22,1
2018;9;1;28
2018;10;1;24,7
2018;11;1;23,6
2018;12;1;21,6
2019;1;1;22,8
2019;2;1;23,5
2019;3;1;26,4
2019;4;1;23,5
2019;5;1;25,5
2019;6;1;22,4
2019;8;1;27
2019;9;1;23,3
2019;10;1;28,8
2019;11;1;24,6
2019;12;1;26,3
2020;1;1;21,5
2020;2;1;23
2020;3;1;22,7
2020;4;1;24,7
2020;5;1;30,6
2020;6;1;18,9
2020;7;1;22
2020;8;1;18,9
2020;9;1;22,7
2020;10;1;20
2020;11;1;26,7
2020;12;1;25
2021;1;1;22,6
2021;2;1;20,9
2021;3;1;21,8
2021;4;1;21,3
2021;5;1;23,2
2021;6;1;22,4
